idDriver,idBike,unlock_date,lock_date,distance,trip_duration_category,station_unlock_count,travel_direction,lock_unlock_time_gap_hours
11669,1751,20,21,2407,0,70,1,0
4807,2401,17,18,4855,0,143,1,0
13613,2372,18,19,14659,0,38,0,0
2178,290,1,1,2168,0,110,0,0
2928,46,4,4,5733,0,110,0,0
6720,2825,17,18,9218,0,19,1,1
8549,2820,6,6,8906,0,100,0,0
10322,2989,29,30,11603,0,78,0,0
17894,644,28,29,17992,0,84,0,0
6456,3204,27,28,4313,1,95,1,0
3015,639,2,3,4253,0,11,0,13
18610,833,29,30,18644,1,111,1,1
12141,1164,17,18,13937,1,116,1,1
91,160,17,18,6772,1,71,0,0
12274,1923,13,14,11732,0,45,0,0
1941,578,11,11,11814,0,115,1,1
369,2396,10,10,1947,0,144,1,0
4826,1919,6,6,1440,1,12,1,1
14935,1704,19,20,2940,2,5,1,1
5516,2174,7,7,9080,1,148,1,0
996,650,23,24,3835,0,142,1,0
7176,2999,28,29,18234,0,10,1,0
4526,612,12,13,2756,1,136,1,0
4169,2109,27,28,3755,0,77,1,1
16357,278,26,27,10187,0,17,1,1
2078,896,23,24,2075,0,84,0,0
8115,305,6,6,7485,2,106,0,4
15090,1442,20,22,9396,1,70,0,1
5970,903,20,21,6203,0,82,0,0
14753,915,18,19,10769,0,147,1,0
14383,2898,17,18,7872,1,80,0,0
5961,1468,19,20,12656,0,166,1,0
8272,993,28,29,8592,1,39,0,0
5006,2004,3,3,5336,1,139,1,1
6546,2203,6,6,5235,0,5,1,0
6350,1288,22,23,1855,1,122,1,0
10012,432,8,8,24,1,70,2,0
8514,778,18,19,5115,0,35,1,1
6105,969,25,26,6209,0,66,1,0
4447,37,24,25,864,0,144,1,0
7047,555,7,7,8217,0,97,0,0
7923,2549,16,17,1436,0,73,1,0
2317,777,25,26,2849,0,155,1,0
3559,1264,2,2,3920,0,175,0,0
5309,3017,24,25,11004,0,117,0,0
13899,773,17,18,13958,1,37,1,1
4117,2289,27,28,5567,0,46,0,0
14974,346,26,27,12638,1,129,1,1
616,548,0,0,597,1,30,0,0
