idDriver,idBike,unlock_date,lock_date,distance,trip_duration_category,station_unlock_count,travel_direction,lock_unlock_time_gap_hours
7226,2593,23,24,3477,1,94,0,0
39,39,0,0,39,1,35,0,1
1316,2347,17,18,11923,2,148,0,4
3392,1166,22,23,2620,0,44,0,0
6853,1218,5,5,7036,0,116,1,0
7025,857,6,6,324,0,93,1,1
9947,2932,8,8,10248,1,69,0,1
5590,1265,10,10,4463,0,78,0,0
1498,1826,21,22,12074,0,44,0,0
5390,724,17,18,1507,1,80,0,0
4482,386,17,18,516,2,77,1,1
14000,439,17,18,1988,0,58,1,0
4929,2171,16,17,6743,0,183,1,0
3925,2960,18,19,4893,1,85,0,1
3603,765,2,2,1341,0,145,0,0
591,529,0,0,24,1,70,2,10
9840,93,24,25,1310,0,82,1,0
15901,49,22,23,7087,1,112,0,1
10968,182,19,20,4480,1,106,1,0
3485,81,6,6,7953,0,100,0,0
10210,2395,9,9,10475,1,136,1,0
10106,872,19,20,15195,1,16,0,1
2480,1535,1,1,2478,1,79,0,0
7831,2393,6,7,6196,2,36,1,11
14906,77,24,25,14978,1,97,0,0
1449,2251,17,18,2076,0,73,1,0
15154,2347,19,20,2916,0,177,1,0
6816,1057,17,18,150,0,100,0,0
8437,2615,6,6,6432,0,20,1,0
6625,411,16,17,13628,0,30,0,0
616,1882,14,16,907,0,90,0,1
1919,979,24,25,5641,0,151,1,0
4990,1229,6,6,5044,1,95,1,1
7940,2020,17,18,7797,0,97,1,1
10658,2788,23,24,14854,1,47,0,0
12390,2952,13,14,11524,1,10,0,0
2747,246,1,1,1042,0,17,1,0
852,1690,21,22,831,0,27,0,0
5488,1661,4,4,5548,0,28,0,0
218,213,0,0,210,0,95,1,0
6969,2622,5,5,1603,0,51,0,0
1300,3135,22,23,2318,1,21,0,0
10813,1240,23,24,16394,2,54,1,1
10108,1017,13,14,11068,0,90,1,1
5679,503,4,4,5746,1,146,1,0
6939,2359,5,5,7136,0,15,1,0
894,684,0,0,869,1,0,0,0
1877,882,14,16,1864,1,13,0,1
5974,39,4,4,3285,0,92,1,1
4463,2419,25,26,17099,1,30,0,0
918,1301,18,19,14470,2,7,1,0
16581,219,24,25,14518,0,79,0,2
7965,1578,7,7,9797,0,82,1,0
3738,1765,5,5,675,0,29,0,0
5987,899,17,18,24,0,49,2,1
8424,2855,23,24,2277,0,71,0,0
6625,2535,7,7,6788,0,113,1,0
4350,826,20,21,11673,0,37,1,0
6242,287,4,4,4482,0,36,0,0
4128,1087,2,2,4127,0,87,0,0
6119,293,6,6,6225,0,172,1,0
2667,1615,1,1,2664,0,131,0,0
7227,3172,28,29,3403,1,53,0,0
7417,983,25,26,6515,0,107,1,1
4472,2543,14,15,1724,0,182,1,0
11032,2046,10,10,24,1,158,2,17
10310,2510,9,9,101,0,157,1,1
11959,920,12,13,174,1,104,1,0
3276,989,1,1,2851,0,11,0,0
13318,1010,17,18,3103,1,56,1,0
9004,2915,29,30,24,2,25,2,0
12745,2324,15,16,744,0,43,0,0
9131,2368,28,29,8861,0,94,1,0
9754,1474,16,17,7010,0,166,0,0
10184,791,15,16,7854,0,35,0,0
5014,3133,19,20,4347,0,165,1,0
4494,332,10,10,11144,1,96,1,0
10780,1469,20,21,1755,0,94,1,0
764,1319,29,30,6311,1,78,1,0
9602,326,27,28,3272,0,70,0,0
4523,680,4,4,3645,0,42,0,0
2701,508,11,11,658,0,104,1,0
314,1807,25,26,6818,0,7,0,0
8962,1097,26,27,15047,0,139,1,0
3406,1223,9,9,2209,0,58,0,0
4839,2474,9,9,24,2,48,2,1
1901,813,0,0,1892,0,115,1,0
8016,9,9,9,3736,0,158,0,0
9654,555,8,8,10004,0,13,0,0
3854,2091,16,17,13095,0,104,0,0
3492,9,15,16,13527,0,143,1,0
4569,2134,3,3,4587,1,183,0,0
5896,2257,24,25,5962,0,76,1,0
17221,293,27,28,5857,0,24,1,0
1304,947,6,6,5800,0,117,1,0
3854,743,7,7,9811,0,85,0,1
679,203,11,11,659,0,92,1,0
9004,3148,23,24,16543,1,179,1,1
6988,859,10,10,11193,1,135,1,0
4204,2685,26,27,815,1,155,1,0
8323,227,6,6,8274,1,17,1,0
52,595,17,18,14293,1,69,0,1
11157,2215,12,13,1964,0,100,1,0
3416,378,2,2,3435,0,52,1,0
468,422,15,16,2223,0,157,0,0
10340,2872,29,30,11049,0,137,0,0
7113,17,17,18,7324,0,73,1,0
11416,1395,19,20,10938,0,178,1,0
13376,318,15,16,3856,0,64,1,0
18575,2228,29,30,18608,1,17,0,0
3354,548,19,20,14966,1,158,0,0
345,1007,1,1,2171,0,112,0,0
8904,1600,22,23,13540,0,95,0,0
1839,2233,6,6,5047,0,19,0,0
16851,940,24,25,5604,1,115,1,1
1980,1989,2,2,4228,0,62,0,0
14849,2555,20,21,15667,0,167,1,0
13655,2011,23,24,16189,1,85,1,1
6777,1660,5,5,6953,1,182,0,0
3620,409,28,29,24,0,112,2,0
341,755,11,11,11769,0,80,0,0
2960,1707,23,24,8438,1,159,0,0
9602,49,18,19,8503,0,27,1,0
10359,33,26,27,17602,0,38,0,0
12682,2991,25,26,7404,0,122,0,1
3678,2704,5,5,7820,0,91,1,0
14360,3115,17,18,24,0,149,2,1
2988,723,5,5,7191,0,24,0,0
2295,938,8,8,6341,0,29,1,1
10861,2954,20,21,6156,0,161,0,1
2085,1221,11,11,2082,1,55,0,1
13507,2091,16,17,24,0,112,2,0
16105,2812,23,24,6522,0,40,0,0
6193,2287,26,27,4425,1,50,0,0
7784,1365,12,13,12358,1,20,1,1
7545,782,17,18,1193,0,102,1,0
18667,1795,29,30,18693,1,113,0,1
6188,708,5,5,7500,1,70,0,0
7064,290,5,5,7262,1,21,1,4
309,1827,2,2,3559,0,72,0,0
15473,2975,27,28,16883,1,73,0,0
17491,2949,26,27,24,2,46,2,4
8405,2009,6,6,3392,0,16,1,0
1827,1701,24,25,1818,0,152,1,0
15537,548,28,29,2448,0,126,1,0
565,488,18,19,543,0,166,1,1
455,341,0,0,436,1,151,0,0
1321,2525,25,26,6555,0,5,1,0
990,2192,25,26,4194,2,91,1,1
2469,1752,8,8,822,0,60,1,0
14066,2805,17,18,5530,0,26,0,0
17030,2188,25,26,10612,0,62,0,1
2119,2537,22,23,16119,0,142,1,0
15569,2655,25,26,17205,0,138,1,0
6354,1145,22,23,6491,0,88,0,0
2609,1623,1,1,2679,0,166,1,0
2069,1524,17,18,6205,0,112,0,0
7184,798,26,27,17550,1,98,1,0
5303,2711,22,23,5142,0,71,1,0
15689,788,21,22,2189,0,67,0,0
13323,3149,23,24,16452,0,60,1,0
4527,854,3,3,2394,0,145,0,0
4340,1160,3,3,5265,0,57,1,0
11723,888,11,11,11049,0,137,0,1
6577,713,19,20,4080,0,33,1,0
9122,1154,8,8,9857,0,181,1,0
7665,844,6,6,7942,1,79,0,0
5034,2165,25,26,17304,1,160,1,0
599,2458,10,10,578,0,50,1,0
725,635,0,0,702,1,92,0,1
1500,1250,5,5,562,0,91,1,0
10013,2788,8,8,10306,0,157,1,0
5868,1906,28,29,18157,0,177,0,1
1633,1777,1,1,2421,1,6,1,1
16136,3034,23,25,689,2,170,1,23
3138,1225,5,5,3154,2,167,0,16
2859,1806,16,17,13719,0,179,0,0
4946,60,3,3,5002,1,10,0,1
5301,1838,6,6,4063,1,58,0,0
3025,1997,9,9,4328,0,53,1,0
3134,3078,26,27,14149,0,107,1,0
6388,2062,25,26,1593,0,134,0,0
214,481,14,15,528,0,62,0,0
18634,1964,29,30,1000,0,36,0,0
4146,162,14,15,4962,0,5,0,0
4750,2924,18,19,1678,1,132,1,0
115,1929,17,18,1987,0,81,0,0
7394,360,8,8,9909,1,22,1,0
5432,665,10,10,3167,0,25,1,1
17496,2562,26,27,2097,1,104,1,0
4002,2024,2,2,1964,0,99,0,1
8673,528,7,7,9048,0,159,0,0
5388,774,5,5,1999,0,81,1,0
14077,1651,27,28,12064,0,111,0,0
1049,2145,24,25,1333,0,75,0,1
13150,1427,15,16,732,0,25,1,0
9584,2752,26,27,1611,0,136,1,0
17118,2940,25,26,7310,0,143,1,0
2421,1307,17,18,2413,1,95,1,1
1400,724,7,7,9366,0,116,1,0
9083,804,23,24,5855,0,126,1,0
7372,609,5,5,2823,1,56,1,0
5164,2843,22,23,7630,0,66,1,0
6110,1294,17,18,13010,0,111,1,0
18187,2899,28,29,10060,1,91,1,1
6944,1,18,19,7143,1,40,0,0
5154,360,4,4,5934,0,116,0,0
6846,2099,17,18,2732,0,164,1,0
2075,1388,5,5,7825,0,172,0,0
2620,1138,1,1,2623,0,187,0,0
1458,3208,29,30,3249,0,133,1,0
16766,948,25,26,24,2,104,2,1
6612,2488,9,9,19,0,19,1,0
7191,1476,18,19,14497,0,10,1,0
11200,159,10,10,11206,2,85,0,1
542,3142,28,29,18376,0,13,1,0
10905,893,10,10,7263,2,94,0,1
6450,2614,20,21,1737,0,49,1,0
7815,53,6,6,6374,0,115,0,0
5147,204,8,8,7981,1,89,0,0
7727,2268,6,6,8005,0,141,1,0
448,1071,0,0,1402,0,24,1,0
4978,1745,6,6,8681,1,107,1,0
4797,2415,17,18,14159,1,26,1,0
8991,2929,19,20,11896,0,136,0,1
11221,1935,12,13,3504,0,43,0,0
9199,2264,7,7,9556,1,77,1,0
791,255,0,0,767,1,57,0,0
393,1308,0,0,1883,1,34,1,1
1207,604,18,19,2996,1,165,1,0
7789,2166,27,28,14228,1,71,0,1
5059,2341,11,11,9641,1,73,1,0
10622,483,9,9,10836,0,5,0,0
1840,886,4,4,5836,0,182,0,1
5310,3089,16,17,281,0,78,0,1
8326,834,20,21,157,0,105,0,0
15711,682,23,24,198,2,136,1,1
3782,1205,9,9,6902,0,11,0,0
14269,1588,17,18,10385,0,116,0,0
12024,2249,29,30,18511,1,91,0,0
4224,551,3,3,5374,0,127,0,0
15926,697,22,23,16049,0,154,0,0
2610,1489,28,29,2613,0,125,1,0
12912,1035,14,15,3268,0,79,1,0
3212,1534,28,29,1864,1,13,0,0
9147,1122,7,7,2233,0,85,0,0
11779,2382,28,29,1966,0,40,1,0
12755,1262,14,15,12981,1,10,1,1
1395,1059,0,0,1388,2,47,0,2
7775,1836,11,11,8050,0,36,1,0
18544,2463,29,30,10062,0,0,0,0
10964,677,10,10,4143,0,115,0,0
4015,2026,2,2,3997,0,78,1,0
3071,2793,28,29,5537,0,159,0,0
537,2791,19,20,12346,2,77,1,1
5698,2357,15,17,408,1,32,0,1
2616,1806,2,2,1201,1,24,1,1
10044,641,8,8,1836,0,29,1,0
4084,1145,6,6,1342,1,99,0,0
9216,3127,22,23,97,0,6,1,0
172,1889,18,19,11075,2,34,0,0
5504,19,27,28,5563,1,94,0,1
2811,710,28,29,49,0,45,0,0
1055,1110,4,4,1289,0,91,1,0
14,555,18,19,11891,0,166,0,0
12129,1186,12,13,6073,1,23,0,0
475,276,0,0,458,0,155,0,0
5869,2590,6,6,2793,0,159,1,0
5895,1716,4,4,5961,0,95,0,0
9365,1274,9,9,10511,1,95,1,0
2426,578,10,10,5496,0,127,1,0
12544,76,26,27,5267,0,156,1,0
14029,2319,29,30,11464,0,12,0,0
3512,1339,24,25,3763,0,78,1,0
2663,2338,5,5,4429,0,161,1,0
6328,91,29,30,3850,0,69,0,0
629,1944,23,24,3500,0,56,0,0
4789,423,20,21,3542,0,16,0,0
1976,2439,5,5,5548,0,95,1,0
4478,927,3,3,1625,0,23,0,0
3792,1966,2,2,3793,0,62,0,0
8068,1552,6,6,7275,0,70,0,0
3129,1123,1,1,24,1,56,2,0
14297,487,23,24,1635,1,61,1,0
9089,114,7,7,9451,1,145,0,0
851,723,0,0,830,0,178,1,0
1047,187,16,17,6480,0,126,0,0
1759,3031,21,22,3645,0,42,0,0
8260,478,26,27,2699,1,24,1,0
12665,1900,15,16,13399,0,28,1,0
16020,2447,23,24,16148,1,143,1,0
6577,1434,5,5,4080,0,33,1,0
3273,1044,1,1,3299,1,26,1,1
6903,88,5,5,1538,0,159,0,0
1237,2248,21,22,1224,0,181,1,1
3468,913,19,21,6835,0,119,1,7
7428,2214,18,19,3981,0,145,0,0
14604,718,27,28,3870,0,74,0,0
2464,553,12,13,12403,1,55,0,1
365,842,11,11,350,0,7,1,0
14872,297,19,20,14946,1,107,1,0
2407,2463,23,24,16242,1,117,1,0
3567,1389,2,2,1979,0,116,0,1
11234,2579,10,10,6754,1,26,0,0
7271,2498,5,5,1223,0,56,0,0
11407,1401,11,11,4010,0,78,0,0
1105,762,4,4,5113,1,26,1,0
3292,1842,2,2,3316,0,106,0,0
4779,1500,12,13,7086,0,79,0,0
13204,1794,23,24,2129,1,78,1,1
9759,77,8,8,10094,1,64,0,1
