unlock_hour,lock_hour,station_lock,lock_station_name,distance,trip_speed,trip_duration_category,travel_direction,lock_unlock_time_gap_hours
13,13,178,178,3546,28870,0,0,0
9,22,162,162,2736,3147,0,0,1
10,10,175,175,4015,4960,0,1,0
0,0,73,73,5923,44980,0,1,0
4,14,34,34,7930,30829,0,0,0
2,0,168,168,17491,49957,0,0,1
2,2,92,92,9044,16123,0,1,0
17,8,139,139,8728,22194,0,1,0
2,2,171,171,1818,4680,0,1,0
1,1,46,46,213,25210,0,0,0
13,13,78,78,5709,48786,0,1,0
2,0,164,164,10307,18457,1,0,1
8,18,131,131,1528,10759,0,0,0
4,14,173,173,2899,3364,1,1,0
15,1,110,110,2733,19387,1,0,1
3,3,143,143,1535,1660,0,0,0
19,20,90,90,7581,11308,0,1,0
6,6,7,7,9938,55470,0,1,0
18,10,41,41,2583,4501,0,1,1
17,8,45,45,15526,57002,0,1,0
8,18,183,183,2343,45612,0,0,0
8,18,147,147,5535,7476,0,0,0
6,6,35,35,7371,46440,0,0,0
12,12,65,65,4693,25258,0,1,0
14,15,82,82,12516,25617,1,1,0
9,22,131,131,55,28598,0,0,1
17,8,48,48,16898,46074,0,1,0
3,3,174,174,785,20480,0,0,0
19,20,162,162,12706,26322,0,1,0
3,17,123,123,11237,21124,1,0,1
22,21,72,72,2788,19114,0,0,1
8,18,60,60,1309,12950,0,1,0
0,0,101,101,3017,3520,0,0,0
3,3,153,153,5383,7139,0,1,0
17,8,68,68,82,83,0,0,0
11,11,31,31,4440,46944,0,0,0
17,8,59,59,12625,29689,0,0,0
0,0,143,143,3763,9881,0,0,0
3,3,180,180,1813,30021,0,0,0
3,17,10,10,4099,34964,0,0,1
21,22,131,131,2302,43687,0,0,0
3,3,123,123,2741,44206,0,1,0
3,3,104,104,8993,14738,0,1,0
6,6,68,68,16122,48137,0,0,0
7,7,251,251,12415,35427,0,0,0
20,19,169,169,2444,3688,1,1,1
2,2,90,90,5318,54517,0,1,0
0,0,135,135,16564,44135,0,1,0
12,3,142,142,15532,50305,0,0,1
11,11,50,50,3471,14914,0,0,0
0,0,210,210,9641,33451,0,1,0
3,17,34,34,9142,36206,0,0,1
6,6,258,258,15060,49094,0,1,0
3,3,241,241,7204,10551,1,0,0
16,3,169,169,12156,24374,0,1,20
19,20,149,149,4612,41722,0,1,0
21,22,101,101,2789,3221,0,1,0
8,18,32,32,9654,21250,0,0,0
4,14,84,84,1057,1114,0,0,0
20,21,182,182,1345,10523,0,0,0
6,9,42,42,4599,16148,0,0,1
16,17,137,137,3387,4041,1,1,0
12,12,210,210,1190,45039,0,0,0
19,15,95,95,10102,54060,1,1,1
5,4,5,5,12857,26966,0,1,0
6,6,120,120,13789,56099,0,1,0
20,21,149,149,9021,56759,0,1,0
5,12,36,36,1537,1663,0,1,1
3,3,87,87,10895,23387,0,0,0
5,12,36,36,6288,23679,0,1,1
0,0,230,230,1742,1906,0,0,0
4,14,109,109,2211,32971,0,0,0
7,7,147,147,598,56199,0,0,0
6,6,226,226,2340,2632,0,1,0
16,17,176,176,490,46696,0,0,0
16,20,229,229,4993,6440,0,0,1
12,12,170,170,16945,46318,0,0,0
5,4,149,149,9093,26673,0,0,0
6,6,239,239,11347,25567,0,0,0
5,4,8,8,11932,33802,0,1,0
2,2,160,160,786,822,0,1,0
